Name,Symbol,Type,Mass (MeV/c^2),Charge (e),Spin,Baryon Number,Le,Lmu,Ltau,Strangeness,Charm,Bottomness,Topness,PDG ID,Is self-conjugate,Width Γ (MeV),Lifetime τ (s),cτ (mm)
Electron,e−,Lepton,0.511,-1.0,0.5,0.0,1,0,0,0,0,0,0,11,FALSE,,,
Positron,e+,Lepton,0.511,1.0,0.5,0.0,0,0,0,0,0,0,0,-11,FALSE,,,
Muon,μ−,Lepton,105.7,-1.0,0.5,0.0,0,1,0,0,0,0,0,13,FALSE,,,
Antimuon,μ+,Lepton,105.7,1.0,0.5,0.0,0,0,0,0,0,0,0,-13,FALSE,,,
Tau,τ−,Lepton,1776.9,-1.0,0.5,0.0,0,0,1,0,0,0,0,15,FALSE,,,
Antitau,τ+,Lepton,1776.9,1.0,0.5,0.0,0,0,0,0,0,0,0,-15,FALSE,,,
Electron neutrino,νe,Lepton,0.0,0.0,0.5,0.0,1,0,0,0,0,0,0,12,FALSE,,,
Electron antineutrino,ν̄e,Lepton,0.0,0.0,0.5,0.0,-1,0,0,0,0,0,0,-12,FALSE,,,
Muon neutrino,νμ,Lepton,0.0,0.0,0.5,0.0,0,1,0,0,0,0,0,14,FALSE,,,
Muon antineutrino,ν̄μ,Lepton,0.0,0.0,0.5,0.0,0,-1,0,0,0,0,0,-14,FALSE,,,
Tau neutrino,ντ,Lepton,0.0,0.0,0.5,0.0,0,0,1,0,0,0,0,16,FALSE,,,
Tau antineutrino,ν̄τ,Lepton,0.0,0.0,0.5,0.0,0,0,-1,0,0,0,0,-16,FALSE,,,
Up quark,u,Quark,2.16,0.6666666666666670,0.5,0.3333333333333330,0,0,0,0,0,0,0,1,FALSE,,,
AntiUp quark,ū,Quark,2.16,-0.6666666666666670,0.5,-0.3333333333333330,0,0,0,0,0,0,0,-1,FALSE,,,
Down quark,d,Quark,4.67,-0.3333333333333330,0.5,0.3333333333333330,0,0,0,0,0,0,0,2,FALSE,,,
AntiDown quark,d̄,Quark,4.67,0.3333333333333330,0.5,-0.3333333333333330,0,0,0,0,0,0,0,-2,FALSE,,,
Strange quark,s,Quark,93.0,-0.3333333333333330,0.5,0.3333333333333330,0,0,0,-1,0,0,0,3,FALSE,,,
AntiStrange quark,s̄,Quark,93.0,0.3333333333333330,0.5,-0.3333333333333330,0,0,0,1,0,0,0,-3,FALSE,,,
Charm quark,c,Quark,1270.0,0.6666666666666670,0.5,0.3333333333333330,0,0,0,0,1,0,0,4,FALSE,,,
AntiCharm quark,c̄,Quark,1270.0,-0.6666666666666670,0.5,-0.3333333333333330,0,0,0,0,-1,0,0,-4,FALSE,,,
Bottom quark,b,Quark,4180.0,-0.3333333333333330,0.5,0.3333333333333330,0,0,0,0,0,-1,0,5,FALSE,,,
AntiBottom quark,b̄,Quark,4180.0,0.3333333333333330,0.5,-0.3333333333333330,0,0,0,0,0,1,0,-5,FALSE,,,
Top quark,t,Quark,172760.0,0.6666666666666670,0.5,0.3333333333333330,0,0,0,0,0,0,1,6,FALSE,,,
AntiTop quark,t̄,Quark,172760.0,-0.6666666666666670,0.5,-0.3333333333333330,0,0,0,0,0,0,-1,-6,FALSE,,,
Photon,γ,Boson,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,22,TRUE,,,
Gluon,g,Boson,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,21,TRUE,,,
Z boson,Z0,Boson,91187.0,0.0,1.0,0.0,0,0,0,0,0,0,0,23,TRUE,,,
W+ boson,W+,Boson,80379.0,1.0,1.0,0.0,0,0,0,0,0,0,0,24,FALSE,,,
W- boson,W−,Boson,80379.0,-1.0,1.0,0.0,0,0,0,0,0,0,0,-24,FALSE,,,
Higgs boson,H0,Boson,125090.0,0.0,0.0,0.0,0,0,0,0,0,0,0,25,TRUE,,,
Proton,p,Baryon,938.272,1.0,0.5,1.0,0,0,0,0,0,0,0,2212,FALSE,,,
Antiproton,p̄,Baryon,938.272,-1.0,0.5,-1.0,0,0,0,0,0,0,0,-2212,FALSE,,,
Neutron,n,Baryon,939.565,0.0,0.5,1.0,0,0,0,0,0,0,0,2112,FALSE,,,
Antineutron,n̄,Baryon,939.565,0.0,0.5,-1.0,0,0,0,0,0,0,0,-2112,FALSE,,,
Pion+,π+,Meson,139.57,1.0,0.0,0.0,0,0,0,0,0,0,0,211,FALSE,,,
Pion-,π−,Meson,139.57,-1.0,0.0,0.0,0,0,0,0,0,0,0,-211,FALSE,,,
Pion0,π0,Meson,134.977,0.0,0.0,0.0,0,0,0,0,0,0,0,111,TRUE,,,
Kaon+,K+,Meson,493.677,1.0,0.0,0.0,0,0,0,1,0,0,0,321,FALSE,,,
Kaon-,K−,Meson,493.677,-1.0,0.0,0.0,0,0,0,-1,0,0,0,-321,FALSE,,,
Kaon0,K0,Meson,497.611,0.0,0.0,0.0,0,0,0,1,0,0,0,311,FALSE,,,
Antikaon0,K̄0,Meson,497.611,0.0,0.0,0.0,0,0,0,-1,0,0,0,-311,FALSE,,,
Lambda,Λ,Baryon,1115.683,0.0,0.5,1.0,0,0,0,-1,0,0,0,3122,FALSE,,,
Antilambda,Λ̄,Baryon,1115.683,0.0,0.5,-1.0,0,0,0,1,0,0,0,-3122,FALSE,,,
